41	Sep 27, 2025 04:42:48.212181000 WIB	0200000000000000
43	Sep 27, 2025 04:42:49.868169000 WIB	0200180000000000
45	Sep 27, 2025 04:42:49.996094000 WIB	0200000000000000
47	Sep 27, 2025 04:42:50.428074000 WIB	0000000000000000
49	Sep 27, 2025 04:42:50.436215000 WIB	0000000000000000
51	Sep 27, 2025 04:42:51.300174000 WIB	0200000000000000
53	Sep 27, 2025 04:42:52.164175000 WIB	02000a0000000000
55	Sep 27, 2025 04:42:52.284058000 WIB	0200000000000000
57	Sep 27, 2025 04:42:53.276153000 WIB	0000000000000000
59	Sep 27, 2025 04:42:53.284186000 WIB	0000000000000000
61	Sep 27, 2025 04:42:54.636254000 WIB	00001b0000000000
63	Sep 27, 2025 04:42:54.732155000 WIB	0000000000000000
65	Sep 27, 2025 04:42:54.740138000 WIB	0000000000000000
67	Sep 27, 2025 04:42:56.612159000 WIB	0000230000000000
69	Sep 27, 2025 04:42:56.748129000 WIB	0000000000000000
71	Sep 27, 2025 04:42:56.756135000 WIB	0000000000000000
73	Sep 27, 2025 04:42:58.428136000 WIB	0200000000000000
75	Sep 27, 2025 04:42:58.916149000 WIB	02001b0000000000
77	Sep 27, 2025 04:42:59.060066000 WIB	0200000000000000
79	Sep 27, 2025 04:42:59.636149000 WIB	0000000000000000
81	Sep 27, 2025 04:42:59.644129000 WIB	0000000000000000
83	Sep 27, 2025 04:43:00.932124000 WIB	0000200000000000
85	Sep 27, 2025 04:43:01.036022000 WIB	0000000000000000
87	Sep 27, 2025 04:43:01.044005000 WIB	0000000000000000
89	Sep 27, 2025 04:43:03.212183000 WIB	0200000000000000
91	Sep 27, 2025 04:43:04.956130000 WIB	0200050000000000
93	Sep 27, 2025 04:43:05.092126000 WIB	0200000000000000
95	Sep 27, 2025 04:43:05.612109000 WIB	0000000000000000
97	Sep 27, 2025 04:43:05.620024000 WIB	0000000000000000
99	Sep 27, 2025 04:43:07.100020000 WIB	00001c0000000000
101	Sep 27, 2025 04:43:07.227991000 WIB	0000000000000000
103	Sep 27, 2025 04:43:07.235992000 WIB	0000000000000000
105	Sep 27, 2025 04:43:08.460110000 WIB	0200000000000000
107	Sep 27, 2025 04:43:09.540022000 WIB	0200100000000000
109	Sep 27, 2025 04:43:09.707988000 WIB	0200000000000000
111	Sep 27, 2025 04:43:11.484084000 WIB	02000b0000000000
113	Sep 27, 2025 04:43:11.644085000 WIB	0200000000000000
115	Sep 27, 2025 04:43:13.868199000 WIB	02001c0000000000
117	Sep 27, 2025 04:43:13.995955000 WIB	0200000000000000
119	Sep 27, 2025 04:43:14.987996000 WIB	0000000000000000
121	Sep 27, 2025 04:43:14.996068000 WIB	0000000000000000
123	Sep 27, 2025 04:43:15.572068000 WIB	00001b0000000000
125	Sep 27, 2025 04:43:15.691949000 WIB	0000000000000000
127	Sep 27, 2025 04:43:15.699956000 WIB	0000000000000000
129	Sep 27, 2025 04:43:17.043952000 WIB	0200000000000000
131	Sep 27, 2025 04:43:17.955963000 WIB	02001d0000000000
133	Sep 27, 2025 04:43:18.068012000 WIB	0200000000000000
135	Sep 27, 2025 04:43:19.451990000 WIB	02000a0000000000
137	Sep 27, 2025 04:43:19.532053000 WIB	0200000000000000
139	Sep 27, 2025 04:43:20.940061000 WIB	0200190000000000
141	Sep 27, 2025 04:43:21.067949000 WIB	0200000000000000
143	Sep 27, 2025 04:43:21.835968000 WIB	0000000000000000
145	Sep 27, 2025 04:43:21.844051000 WIB	0000000000000000
147	Sep 27, 2025 04:43:22.764050000 WIB	0000090000000000
149	Sep 27, 2025 04:43:22.908056000 WIB	0000000000000000
151	Sep 27, 2025 04:43:22.915985000 WIB	0000000000000000
153	Sep 27, 2025 04:43:23.979931000 WIB	0000080000000000
155	Sep 27, 2025 04:43:24.043933000 WIB	0000000000000000
157	Sep 27, 2025 04:43:24.051919000 WIB	0000000000000000
159	Sep 27, 2025 04:43:25.532042000 WIB	0200000000000000
161	Sep 27, 2025 04:43:25.860036000 WIB	0200170000000000
163	Sep 27, 2025 04:43:25.932091000 WIB	0200000000000000
